Cta.Conta	Cta.NrCCust	Diar.Mes	Diar.Numero	Data.Lanc	Doc.Tipo	Doc.Numero	Doc.Ordem	Val.Valor	Lan.Refer	RegIVA.Cod	RegIVA.CodI
43311		07	31	31.07.2020	101	770001	0	1195.85	Equip.Básico c/IVA Dedutível		
2432212		07	31	31.07.2020	101	770001	1	275.05	Activos Tx.Nor		
221110005		07	31	31.07.2020	101	770001	2	-1470.9	Altronix Lda		
221110005		07	31	31.07.2020	101	770002	0	1470.9	Altronix Lda		
2782001		07	31	31.07.2020	101	770002	1	-1470.9	USN Portugal Unipesssoal Lda		
221110006		07	31	31.07.2020	101	770003	0	492	Numeros Competentes Lda		
2782001		07	31	31.07.2020	101	770003	1	-492	USN Portugal Unipesssoal Lda		
221110007		07	31	31.07.2020	101	770004	0	232.9	Wizzair		
2782001		07	31	31.07.2020	101	770004	1	-232.9	USN Portugal Unipesssoal Lda		
221110008		07	31	31.07.2020	101	770005	0	147.6	Sociedade Ponto Verde SA		
2782001		07	31	31.07.2020	101	770005	1	-147.6	USN Portugal Unipesssoal Lda		
262201		07	31	01.07.2020	101	770006	0	4500	Charlotte Sophie Caspi		
262202		07	31	01.07.2020	101	770006	1	500	Ajay Kumar Diwan		
5101		07	31	01.07.2020	101	770006	2	-4500	Charlotte Sophie Caspi		
5102		07	31	01.07.2020	101	770006	3	-500	Ajay Kumar Diwan		
64231		07	31	31.07.2020	101	770007	0	19.93	Amort.Equipamento Básico		
43831		07	31	31.07.2020	101	770007	1	-19.93	Deprec.Equipamento Básico		
321		07	31	01.07.2020	101	770008	0	9348.23	Mercadorias Existências		
321		07	31	01.07.2020	101	770008	1	923.9	Mercadorias Existências		
6111001		07	31	01.07.2020	101	770008	2	966.65	Mercadorias		
6111001		07	31	01.07.2020	101	770008	3	211.2	Mercadorias		
6112003		07	31	01.07.2020	101	770008	4	181.62	Ofertas - stock		
298001		07	31	01.07.2020	101	770008	5	-9348.23	Provisão - stock		
298001		07	31	01.07.2020	101	770008	6	-923.9	Provisão - stock		
321		07	31	01.07.2020	101	770008	7	-966.65	Mercadorias Existências		
321		07	31	01.07.2020	101	770008	8	-211.2	Mercadorias Existências		
321		07	31	01.07.2020	101	770008	9	-181.62	Mercadorias Existências		
1214		07	31	31.07.2020	101	770009	0	500	BCP - account 1		
2782001		07	31	31.07.2020	101	770009	1	-500	USN Portugal Unipesssoal Lda		
1214		07	31	31.07.2020	101	770010	0	30845.52	BCP - account 1		
2782004		07	31	31.07.2020	101	770010	1	-30845.52	Desatec GmbH		
2782003		07	31	31.07.2020	101	770011	0	4000	Greenies Biological Products Lda		
1214		07	31	31.07.2020	101	770011	1	-4000	BCP - account 1		
2782001		07	31	31.07.2020	101	770012	0	7318.22	USN Portugal Unipesssoal Lda		
1214		07	31	31.07.2020	101	770012	1	-7318.22	BCP - account 1		
2782002		07	31	31.07.2020	101	770013	0	4301.2	Charlotte Shopie Caspi		
1214		07	31	31.07.2020	101	770013	1	-4301.2	BCP - account 1		
62271		07	31	31.07.2020	101	770014	0	1.04	BCP		
1214		07	31	31.07.2020	101	770014	1	-1.04	BCP - account 1		
21110001		07	31	08.07.2020	101	770015	0	113.04	Fisiogaspar Fisioterapia e Re		
7111		07	31	08.07.2020	101	770015	1	-91.9	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	08.07.2020	101	770015	2	-21.14	Trans.Internas Tx.Nor.		
21110002		07	31	10.07.2020	101	770016	0	361.77	CBE Training Lda		
